Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count,Sequence
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--gravitation--mass,1.0,50.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,rigid body,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion--rigid body,6.0,51.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,center of mass,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion--center of mass,5.0,53.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,the vector product of vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion--the vector product of vectors,9.0,56.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,motion,5ec5867a0c88fe5860961943,cbse--7th cbse--science--physics--motion and time--motion,3.0,58.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,moment of inertia,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion--moment of inertia,14.0,59.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--motion,1.0,17.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,speed and velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--speed and velocity,9.0,18.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,acceleration,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--acceleration,10.0,19.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,scalars and vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--scalars and vectors,18.0,22.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,uniform circular motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--uniform circular motion,7.0,27.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--oscillations and waves--oscillations,force,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--force,1.0,29.0
